Plate,Row,Col,JW_id,Strain,ECK number,Escherichia coli MG1655 B id,gene name,Clone Catalog Number,
77,A,1,JW5237,1,ECK1453,b1459,yncM,OEC4987-213607318,
77,B,1,JW5238,1,ECK1473,b1479,sfcA,OEC4987-213607319,
77,C,1,JW5239,4,ECK1475,b1481,bdm,OEC4987-213607320,
77,D,1,JW5240,1,ECK1481,b1487,ddpA,OEC4987-213607321,
77,E,1,JW5241,1,ECK1484,b1490,yddV,OEC4987-213607322,
77,F,1,JW5243,2,ECK1492,b1498,ydeN,OEC4987-213607323,
77,G,1,JW5245,1,ECK1513,b1520,yneE,OEC4987-213607324,
77,H,1,JW5247,1,ECK1518,b1525,yneI,OEC4987-213607325,
77,A,2,JW5248,1,ECK1523,b1530,marR,OEC4987-213607326,
77,B,2,JW5249,1,ECK1524,b1531,marA,OEC4987-213607327,
77,C,2,JW5250,1,ECK1526,b1533,eamA,OEC4987-213607328,
77,D,2,JW5252,1,ECK1543,b1549,ydfO,OEC4987-213607329,
77,E,2,JW5253,1,ECK1544,b1550,gnsB,OEC4987-213607330,
77,F,2,JW5255,1,ECK1550,b1556,essQ,OEC4987-213607331,
77,G,2,JW5256,1,,,,OEC4987-213607332,
77,H,2,JW5263,1,ECK1587,b1592,clcB,OEC4987-213607333,
77,A,3,JW5265,1,ECK1619,b1624,ydgJ,OEC4987-213607334,
77,B,3,JW5267,1,ECK1638,b1642,slyA,OEC4987-213607335,
77,C,3,JW5268,1,,,,OEC4987-213607336,
77,D,3,JW5269,1,,,,OEC4987-213607337,
77,E,3,JW5270,1,ECK1651,b1655,ydhO,OEC4987-213607338,
77,F,3,JW5272,1,ECK1669,b1673,ydhV,OEC4987-213607339,
77,G,3,JW5273,1,ECK1679,b1683,sufB,OEC4987-213607340,
77,H,3,JW5275,1,ECK1693,b1695,ydiO,OEC4987-213607341,
77,A,4,JW5276,1,ECK1695,b1697,ydiQ,OEC4987-213607342,
77,B,4,JW5280,1,ECK1721,b1723,pfkB,OEC4987-213607343,
77,C,4,JW5283,1,ECK1749,b1751,ydjY,OEC4987-213607344,
77,D,4,JW5284,1,ECK1752,b1754,ynjB,OEC4987-213607345,
77,E,4,JW5285,1,ECK1753,b1755,ynjC,OEC4987-213607346,
77,F,4,JW5287,1,ECK1755,b1757,ynjE,OEC4987-213607347,
77,G,4,JW5288,1,ECK1760,b1762,ynjI,OEC4987-213607348,
77,H,4,JW5289,1,ECK1770,b1772,ydjH,OEC4987-213607349,
77,A,5,JW5291,1,ECK1784,b1786,yeaJ,OEC4987-213607350,
77,B,5,JW5292,1,ECK1792,b1794,yeaP,OEC4987-213607351,
77,C,5,JW5295,1,ECK1807,b1809,yoaB,OEC4987-213607352,
77,D,5,JW5296,3,ECK1808,b1810,yoaC,OEC4987-213607353,
77,E,5,JW5297,1,,,,OEC4987-213607354,
77,F,5,JW5300,1,ECK1830,b1831,proQ,OEC4987-213607355,
77,G,5,JW5301,1,ECK1834,b1835,yebU,OEC4987-213607356,
77,H,5,JW5302,1,ECK1835,b1836,yebV,OEC4987-213607357,
77,A,6,JW5303,1,ECK1836,b1837,yebW,OEC4987-213607358,
77,B,6,JW5306,1,ECK1863,b1862,yebB,OEC4987-213607359,
77,C,6,JW5307,1,ECK1868,b1867,yecD,OEC4987-213607360,
77,D,6,JW5308,1,ECK1870,b1869,yecN,OEC4987-213607361,
77,E,6,JW5309,1,ECK1876,b1875,yecM,OEC4987-213607362,
77,F,6,JW5310,2,ECK1878,b1877,yecT,OEC4987-213607363,
77,G,6,JW5312,3,ECK1895,b1896,otsA,OEC4987-213607364,
77,H,6,JW5314,1,,,,OEC4987-213607365,
77,A,7,JW5317,1,ECK1951,b1953,yodD,OEC4987-213607366,
77,B,7,JW5319,1,ECK1962,b1964,yedS,OEC4987-213607367,
77,C,7,JW5323,1,ECK1970,b1974,yodB,OEC4987-213607368,
77,D,7,JW5324,1,,,,OEC4987-213607369,
77,E,7,JW5329,1,ECK2004,b2010,dacD,OEC4987-213607370,
77,F,7,JW5335,1,ECK2045,b2051,nudD,OEC4987-213607371,
77,G,7,JW5336,1,ECK2057,b2063,yegH,OEC4987-213607372,
77,H,7,JW5338,1,ECK2070,b2074,mdtA,OEC4987-213607373,
77,A,8,JW5339,1,ECK2076,b2080,yegP,OEC4987-213607374,
77,B,8,JW5340,1,ECK2083,b2087,gatR,OEC4987-213607375,
77,C,8,JW5344,1,ECK2090,b2097,fbaB,OEC4987-213607376,
77,D,8,JW5345,1,ECK2095,b2102,yegX,OEC4987-213607377,
77,E,8,JW5346,1,ECK2100,b2107,yohN,OEC4987-213607378,
77,F,8,JW5349,1,ECK2111,b2119,yehL,OEC4987-213607379,
77,G,8,JW5350,2,ECK2113,b2121,yehP,OEC4987-213607380,
77,H,8,JW5351,1,ECK2115,b2123,yehR,OEC4987-213607381,
