Resource No (JW ID) ,Gene Name ,Comment ,Cell Shape,PubMed ID[RRC reference]
JW1950-KC Ê ,hchA,ready to distribute,Normal,
JW2201-KC Ê ,ada,ready to distribute,Normal,
JW4077-KC Ê ,adiY,ready to distribute,Normal,
JW0553-KC Ê ,appY,ready to distribute,Normal,
JW3206-KC Ê ,argR,ready to distribute,Normal,
JW3721-KC Ê ,asnC,ready to distribute,Normal,
JW0305-KC Ê ,betI,ready to distribute,Normal,
JW3701-KC Ê ,bglG,ready to distribute,Normal,
JW1262-KC Ê ,btuR,ready to distribute,Long,
JW4094-KC Ê ,cadC,ready to distribute,Normal,23239623 [RRC: 35589]
JW1966-KC Ê ,cbl,ready to distribute,Normal,
JW1724-KC Ê ,chbR,ready to distribute,Normal,
JW5702-KC Ê ,crp,ready to distribute,Normal,21673794 [RRC: 35419]
,,,,23469036 [RRC: 35545]
,,,,23475967 [RRC: 35567]
JW1023-KC Ê ,csgD,ready to distribute,Normal,21421764 [RRC: 35366]
,,,,20874755 [RRC: 35311]
JW5894-KC Ê ,cynR,ready to distribute,Short,
JW3905-KC Ê ,cytR,ready to distribute,Long,
JW0824-KC Ê ,deoR,ready to distribute,Normal,22812562 [RRC: 35462]
JW2361-KC Ê ,dsdC,ready to distribute,Normal,
JW3046-KC Ê ,ebgR,ready to distribute,Lysed,
JW3232-KC Ê ,envR,ready to distribute,Normal,
JW0555-KC Ê ,envY,ready to distribute,Long,
JW1176-KC Ê ,fadR,ready to distribute,Normal,
JW3229-KC Ê ,fis,ready to distribute,Very long,
JW1328-KC Ê ,fnr,ready to distribute,Normal,
JW2776-KC Ê ,fucR,ready to distribute,Normal,
JW2805-KC Ê ,galR,ready to distribute,Normal,
JW2138-KC Ê ,galS,ready to distribute,Normal,
JW0895-KC Ê ,ihfB,ready to distribute,Long,20466769 [RRC: 35310]
JW1225-KC Ê ,hns,ready to distribute,Normal,19429622 [RRC: 35235]
,,,,21883529 [RRC: 35418]
,,,,20345943 [RRC: 35340]
,,,,20466769 [RRC: 35310]
JW3964-KC Ê ,hupA,ready to distribute,Normal,
JW0430-KC Ê ,hupB,ready to distribute,Normal,
JW2883-KC Ê ,argP,ready to distribute,Normal,
JW4221-KC Ê ,idnR,ready to distribute,Normal,
JW3746-KC Ê ,ilvY,ready to distribute,Normal,
JW0075-KC Ê ,leuO,ready to distribute,Normal,19429622 [RRC: 35235]
,,,,21883529 [RRC: 35418]
JW0872-KC Ê ,lrp,ready to distribute,Normal,
JW2807-KC Ê ,lysR,ready to distribute,Normal,
JW1612-KC Ê ,malI,ready to distribute,Normal,
JW4079-KC Ê ,melR,ready to distribute,Normal,
